JurisdictionID,County,trumpVoteCount,clintonVoteCount,totalCount,trump,clinton
74,PIATT,5634,2645,8279,0.6805,0.3195
59,MARSHALL,3785,1789,5574,0.679,0.321
60,MASON,4058,2014,6072,0.6683,0.3317
9,CASS,3216,1621,4837,0.6649,0.3351
69,MORGAN,9076,4696,13772,0.659,0.341
90,TAZEWELL,38707,20685,59392,0.6517,0.3483
36,HENDERSON,2155,1155,3310,0.6511,0.3489
8,CARROLL,4434,2447,6881,0.6444,0.3556
71,OGLE,14352,8050,22402,0.6407,0.3593
15,COLES,13003,7309,20312,0.6402,0.3598
77,PULASKI,1675,962,2637,0.6352,0.3648
32,GRUNDY,13454,8065,21519,0.6252,0.3748
48,KNOX,5870,3571,9441,0.6218,0.3782
37,HENRY,13985,8871,22856,0.6119,0.3881
66,MERCER,4807,3071,7878,0.6102,0.3898
52,LEE,8612,5528,14140,0.6091,0.3909
78,PUTNAM,1767,1147,2914,0.6064,0.3936
6,BUREAU,9281,6029,15310,0.6062,0.3938
55,MACON,26866,18343,45209,0.5943,0.4057
101,WINNEBAGO,36181,25138,61319,0.59,0.41
94,WARREN,4275,2987,7262,0.5887,0.4113
89,STEPHENSON,11083,7768,18851,0.5879,0.4121
57,MADISON,70490,50587,121077,0.5822,0.4178
29,FULTON,8492,6133,14625,0.5806,0.4194
43,JoDAVIESS,6121,4462,10583,0.5784,0.4216
4,BOONE,12282,8986,21268,0.5775,0.4225
50,LaSALLE,26689,19543,46232,0.5773,0.4227
46,KANKAKEE,25129,18971,44100,0.5698,0.4302
62,McDONOUGH,6795,5288,12083,0.5624,0.4376
83,SANGAMON,49944,40907,90851,0.5497,0.4503
64,McLEAN,22506,18842,41348,0.5443,0.4557
2,ALEXANDER,1496,1262,2758,0.5424,0.4576
63,McHENRY,71612,60803,132415,0.5408,0.4592
98,WHITESIDE,12615,11035,23650,0.5334,0.4666
88,ST. CLAIR,53706,50659,104365,0.5146,0.4854
47,KENDALL,24212,23542,47754,0.507,0.493
72,PEORIA,35633,38060,73693,0.4835,0.5165
19,DeKALB,19091,20466,39557,0.4826,0.5174
39,JACKSON,10843,11634,22477,0.4824,0.5176
106,CITY OF DANVILLE,4702,5151,9853,0.4772,0.5228
45,KANE,74715,81941,156656,0.4769,0.5231
99,WILL,131331,149137,280468,0.4683,0.5317
104,CITY OF BLOOMINGTON,14731,17354,32085,0.4591,0.5409
108,CITY OF GALESBURG,4867,6512,11379,0.4277,0.5723
22,DuPAGE,166415,228622,395037,0.4213,0.5787
49,LAKE,109767,171095,280862,0.3908,0.6092
110,CITY OF ROCKFORD,19443,30575,50018,0.3887,0.6113
16,COOK,317970,699003,1016973,0.3127,0.6873
103,CITY OF AURORA,10157,25856,36013,0.282,0.718
105,CITY OF CHICAGO,135317,912943,1048260,0.1291,0.8709
107,CITY OF EAST ST. LOUIS,151,10097,10248,0.0147,0.9853
